Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",PTS810SJG250SMTRLFS,2,PTS810SJM250SMTRLFS,C116501
"C1, C3, C4, C7",0603,4,0.1uF,C108079
C10,0603,1,22uF,C86295
"C2, C5, C6",0603,3,10uF,C95839
C9,0603,1,10uF,C3039688
D1,D_SOD-123,1,MM1Z3V3,C22379456
D3,0603,1,LED,C497940
"D4, D6",D_SOD-123,2,B5817W,C7420328
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2988369
L2,RES_CIGT201610_SAM,1,2.2uH,C315717
PS1,DSG0008A,1,TPS62163DSGR,C97534
"R1, R2, R3, R8",0603,4,5.1k,C105580
"R10, R11, R9",0603,3,10k,C98220
R4,0603,1,100k,C14675
R5,0603,1,33k,C126359
R6,0603,1,1M,C105578
R7,0603,1,200K,C105574
U1,XCVR_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,C2913206
U2,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,1,D3V3XA4B10LP,C1980462
U5,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75801PDRVR,C2876308
